Symbol,Date,Open,High,Low,Close,Adj Close,Volume
reliance,17-09-2019,1211,1281,1172.650024,1239.199951,1234.564331,52170595
reliance,24-09-2019,1243.599976,1335.75,1242.75,1332.25,1327.266357,52950899
reliance,01-10-2019,1337,1342,1281.300049,1310.099976,1305.199219,25829476
reliance,08-10-2019,1310.099976,1369,1292.5,1358,1352.920044,37755742
reliance,15-10-2019,1362.5,1427.900024,1354.300049,1416.349976,1411.051758,33481650
reliance,22-10-2019,1425,1445,1383.150024,1431.199951,1425.846191,39055699
reliance,29-10-2019,1445.5,1489.650024,1441,1457.650024,1452.197266,40935293
reliance,05-11-2019,1463.099976,1468.949951,1422.550049,1427.800049,1422.458984,29611623
reliance,12-11-2019,1427.800049,1486.800049,1427.800049,1459.199951,1453.741455,31659474
reliance,19-11-2019,1467,1572.400024,1465,1561.550049,1555.708618,57653601
reliance,26-11-2019,1568.099976,1614.449951,1547.849976,1586.5,1580.565186,49605366
reliance,03-12-2019,1592.75,1594,1533.75,1572.599976,1566.717163,36412572
reliance,10-12-2019,1572.050049,1593.900024,1550.599976,1566.599976,1560.739624,26253054
reliance,17-12-2019,1566.75,1617.550049,1555.550049,1571.400024,1565.521729,46609838
reliance,24-12-2019,1568.900024,1572.050049,1510.150024,1544.199951,1538.423462,37766874
reliance,31-12-2019,1542,1543.699951,1508.050049,1514.050049,1508.386353,10150467
grasim,01-01-2019,827.5,838,793,820.650024,808.039612,4385273
grasim,08-01-2019,820,844.299988,807,813.700012,801.196472,7800549
grasim,15-01-2019,815.900024,841.450012,802.700012,815.650024,803.116516,7016099
grasim,22-01-2019,812,812.700012,727.200012,732.799988,721.539551,5595098
grasim,29-01-2019,722,743.599976,701,706.75,695.889832,7395782
grasim,05-02-2019,706.799988,764.049988,698,716.650024,705.637756,10778732
grasim,12-02-2019,717,727.900024,689.099976,699.849976,689.095825,5054334
grasim,19-02-2019,702.5,781.5,697.200012,778.650024,766.685059,8027430
grasim,26-02-2019,774,796.900024,762.599976,791.75,779.58374,5140730
grasim,05-03-2019,791.5,831.950012,789.450012,827.5,814.784363,5990820
grasim,12-03-2019,831.900024,845.799988,806.099976,818.549988,805.971863,6777064
grasim,19-03-2019,820,832.799988,808,815.400024,802.8703,5486020
grasim,26-03-2019,820,871,816.099976,857.349976,844.175659,6581115
grasim,02-04-2019,857.349976,859.599976,825.400024,840.450012,827.535339,6434768
grasim,09-04-2019,837,869,829,866,852.692749,4937141
grasim,16-04-2019,869.900024,887.900024,855.099976,863.900024,850.625061,3552919
grasim,23-04-2019,864,940,849.599976,913.450012,899.413635,12733081
grasim,30-04-2019,918,923.799988,881.549988,896.549988,882.773315,4422056
grasim,07-05-2019,900,906.900024,833.349976,837.950012,825.073792,4685579
grasim,14-05-2019,840.150024,894,804.849976,890.299988,876.619385,7827560
grasim,21-05-2019,902.700012,959.799988,849,935.299988,920.927856,11665962
grasim,28-05-2019,938,938,878.799988,895.049988,881.296387,13128086
grasim,04-06-2019,890,903.900024,852.349976,880.950012,867.413025,6397750
grasim,11-06-2019,884.950012,907.5,869.700012,879.349976,865.837646,6950004
grasim,18-06-2019,878,913.799988,866,886.650024,873.025452,6152952
grasim,25-06-2019,886.549988,937.799988,877.049988,920,905.862976,7436863
grasim,02-07-2019,923,949.5,877.950012,888.549988,874.89624,7493322
grasim,09-07-2019,887,927.849976,882.5,922.299988,908.127625,4882423
grasim,16-07-2019,923.599976,939,863.099976,892.150024,878.440918,4601579
grasim,23-07-2019,892.5,898.450012,789.150024,795.650024,783.423828,9051113
grasim,30-07-2019,791,817,746.650024,749.450012,737.933716,11842288
grasim,06-08-2019,742.400024,770.400024,716.099976,746.5,735.028992,7681749
grasim,13-08-2019,748,759.799988,705.700012,732.349976,728.002075,8477868
grasim,20-08-2019,738,741,680.049988,737.299988,732.922668,10572687
